id,eng_Latn,hin_Deva,kan_Knda,tam_Taml
1,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",उन्होंने कहा “कि अब हमारे पास 4 महीने उम्र वाले चूहे हैं जिन्हें मधुमेह नहीं है जो मधुमेह के रोगी थे। ”,""" ಈ ಮೊದಲು ಡಯಾಬೆಟಿಕ್ ಆಗಿದ್ದ ಆದರೆ ಈಗ  ಡಯಾಬೆಟಿಕ್ ಅಲ್ಲದ 4 ತಿಂಗಳ ಇಲಿಗಳು ನಮ್ಮ  ಬಳಿ ಇವೆ,"" ಎಂದು ಅವನು ಹೇಳಿದ.","""""""எங்களிடம் இப்போது  4-மாத-வயதுடைய எலி ஒன்று உள்ளது, முன்னர் அதற்கு நீரிழிவு இருந்தது தற்போது இல்லை"""" என்று அவர் மேலும் கூறினார்."""
2,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","डॉ. एहुड उर, नोवा स्कोटिया के हैलिफ़ैक्स में डलहौज़ी विश्वविद्यालय में चिकित्सा के प्रोफ़ेसर और कनाडाई डायबिटीज़ एसोसिएशन के नैदानिक ​​और वैज्ञानिक विभाग के अध्यक्ष ने आगाह किया कि शोध अभी भी अपने शुरुआती दिनों में है.",ನೋವಾ ಸ್ಕಾಟಿಯಾದ ಹ್ಯಾಲಿಫ್ಯಾಕ್ಸ್‌ನ ಡಾಲ್‌ಹೌಸಿ ವಿಶ್ವವಿದ್ಯಾಲಯದ ವೈದ್ಯಕೀಯ ಪ್ರಾಧ್ಯಾಪಕ ಮತ್ತು ಕೆನಡಿಯನ್ ಡಯಾಬಿಟಿಸ್ ಅಸೋಸಿಯೇಷನ್‌ನ ಕ್ಲಿನಿಕಲ್ ಮತ್ತು ವೈಜ್ಞಾನಿಕ ವಿಭಾಗದ ಅಧ್ಯಕ್ಷರಾದ ಡಾ. ಎಹುದ್ ಉರ್ ಅವರು ಸಂಶೋಧನೆಯು ಇನ್ನೂ ಆರಂಭಿಕ ದಿನಗಳಲ್ಲಿದೆ ಎಂದು ಮಾರ್ಮಿಕವಾಗಿ ಎಚ್ಚರಿಸಿದ್ದಾರೆ.,"ஹாலிஃபாக்ஸில் உள்ள டல்ஹெளசி பல்கலைக்கழகத்தின் மருத்துவப் பேராசிரியரும், நோவா ஸ்கோட்டியா மற்றும் கனேடிய நீரிழிவு சங்கத்தின் மருத்துவ மற்றும் அறிவியல் பிரிவின் தலைவருமான டாக்டர் இஹுத் உர், ஆராய்ச்சி இன்னும் ஆரம்ப நாட்களில்தான் உள்ளது என்று எச்சரித்துள்ளார்."
3,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","कुछ अन्य विशेषज्ञों की तरह, उन्हें इस बात पर संदेह है कि क्या मधुमेह को ठीक किया जा सकता है, यह देखते हुए कि इन निष्कर्षों की उन लोगों के लिए कोई प्रासंगिकता नहीं है जिन्हें पहले से ही टाइप 1 मधुमेह है.","ಮಧುಮೇಹವನ್ನು ಗುಣಪಡಿಸಲು ಸಾಧ್ಯವೇ ಎಂಬ ಬಗ್ಗೆ ಇತರೆ ಇತರ ಕೆಲವು ತಜ್ಞರಂತೆ ಅವರು ಕೂಡ ಸಂಶಯ ವ್ಯಕ್ತಪಡಿಸುತ್ತಾರೆ, ಈ ಸಂಶೋಧನೆಗಳು ಈಗಾಗಲೇ ಟೈಪ್ 1 ಮಧುಮೇಹ ಹೊಂದಿರುವ ಜನರಿಗೆ ಯಾವುದೇ ಪ್ರಯೋಜನಗಳನ್ನು ನೀಡಿಲ್ಲ.","பிற வல்லுனர்கள் போலவே அவரும், ஏற்கனவே டைப் 1 இரத்த சர்க்கரை நோயுள்ளவர்களுக்கு இந்த கண்டுபிடிப்புகள் பொருந்தவில்லை என்பதால் இரத்த சர்க்கரை நோயிற்கு நிவாரணம் உள்ளதா என்பது குறித்து சந்தேகமடைகிறார்."
4,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","सोमवार को स्वीडिश अकादमी में साहित्य के लिए नोबेल समिति के स्थायी सचिव, सारा डेनियस, स्वीडन समिति में सेवरिज रेडियो पर एक रेडियो कार्यक्रम के दौरान सार्वजनिक रूप से घोषणा की, कि साहित्य में 2016 के नोबेल पुरस्कार जीतने को लेकर सीधे बॉब डायलन तक पहुँचने में असमर्थ होकर, अपने प्रयासों को छोड़ चुके थे.","ಸೋಮವಾರ, ಸ್ವೀಡಿಷ್ ಅಕಾಡೆಮಿಯ ಸಾಹಿತ್ಯಕ್ಕಾಗಿ ನೊಬೆಲ್ ಸಮಿತಿಯ ಖಾಯಂ ಕಾರ್ಯದರ್ಶಿಯಾದ ಸಾರಾ ಡೇನಿಯಸ್ ಅವರು, 2016 ರ ಸಾಹಿತ್ಯದ ನೊಬೆಲ್ ಪ್ರಶಸ್ತಿ ಗೆಲ್ಲುವ ಬಗ್ಗೆ ಬಾಬ್ ಡೈಲನ್ ಅವರನ್ನು ನೇರವಾಗಿ ಸಂಪರ್ಕಿಸಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ, ಆತನನ್ನು ಸಂಪರ್ಕಿಸುವ ಎಲ್ಲಾ ಪ್ರಯತ್ನಗಳು ವಿಫಲವಾದವು ಎಂದು ಸ್ವೀಡನ್‌ನ ಸ್ವೆರಿಜಸ್ ರೇಡಿಯೊದಲ್ಲಿ ರೇಡಿಯೊ ಕಾರ್ಯಕ್ರಮವೊಂದರಲ್ಲಿ ಸಾರ್ವಜನಿಕವಾಗಿ ಘೋಷಿಸಿದರು.","திங்கட் கிழமையன்று ஸ்வீடிஷ் அகேடமியில் இலக்கியத்திற்கான நோபல் குழுவின் செயலாளர், சாரா டேனியஸ் ஸ்வீடனின் ஸ்வெரிஜெஸ் ரேடியோவின் ஒரு ரேடியோ நிகழ்ச்சியில், பாப் டைலன் 2016ஆம் வருட இலக்கியத்திற்கான நோபல் பரிசு வென்றதை அவரிடம் நேரிடையாக அறிவிக்க இயலவில்லை என்றும் அவரை அடையும் முயற்சி கைவிடப்பட்டது என்றும் பொதுவாக அறிவித்தார்."
5,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","डेनियस ने कहा, “फ़िलहाल हम कुछ नहीं कर रहे हैं. मैंने अपने साथ काम करने वाले लोगों को ईमेल भेजे हैं और उसने उनके फ्रेंडली जवाब भेजे हैं. अभी के लिए, बस इतना ही बताना चाहूँगा.”","ಡೇನಿಯಸ್, "" ಸಧ್ಯಕ್ಕೆ ನಾವೇನೂ ಮಾಡುತ್ತಿಲ್ಲ. ನಾನು ಅವರ ಅತ್ಯಂತ ನಿಕಟ ಸಹಯೋಗಿಗೆ ದೂರವಾಣಿ ಕರೆ ಮಾಡಿದ್ಡೇನೆ ಹಾಗೂ ಈಮೇಲ್‌ಗಳನ್ನು ಕಳಿಸಿದ್ದೇನೆ ಹಾಗೂ ಅವರಿಂದ ಸ್ನೇಹಪೂರ್ಣ ಉತ್ತರಗಳನ್ನು ಪಡೆದಿದ್ದೇನೆ. ಈಗಿನ ಮಟ್ಟಕ್ಕೆ ಇದು ನಿಜವಾಗಿಯೂ ಸಾಕು"" ಎಂದು ಹೇಳಿದ.","""""""இப்போது நாம் ஒன்றும் செய்யவில்லை. நான் அவரது நெருங்கிய கூட்டாளிக்கு அழைப்பு செய்து மின்னஞ்சல்களை அனுப்பி, மிகவும் நட்புடன் பதில்களைப் பெற்றுள்ளேன். இப்போதைக்கு, அது போதுமானது."""" என்று டானியஸ் கூறினார்."""
6,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","इससे पहले, रिंग के सीईओ, जेमी सिमिनॉफ ने बताया था कि कंपनी तब शुरू हुई जब उसके दरवाज़े की घंटी उसके गेराज में स्थित दुकान से सुनाई नहीं देती थी।","ಈ ಮುಂಚೆ, ಜೇಮೀ ಸಿಮಿನಾಫ್,  ರಿಂಗ್ ಕಂಪನಿಯ CEO, ಅವನ ಮನೆಯ ಡೋರ್‌ಬೆಲ್ ಅವನ ಗ್ಯಾರೇಜಿನಲ್ಲಿ ಇದ್ದ ಅಂಗಡಿಯ ತನಕ ಕೇಳದೇ  ಹೋದಾಗ ಅವನು ಈ  ಕಂಪನಿ ಶುರು ಮಾಡಿದ ಎಂದು ವಿವರಿಸಿದ್ದ.","முன்பு, ரிங்க்ஸின் சீஈஓ ஜேமி ஸிமினாஃப், அவருக்கு அவரது கேரேஜினுள் உள்ள கடைக்குள் கதவு அறிவிப்பு மணியின் ஒலி கேட்காத காரணத்தால், அந்த நிறுவனம் துவங்கப்பட்டது என்பதை குறிப்பிட்டார்."
7,"He built a WiFi door bell, he said.","उन्होंने (जेमी सिमिनॉफ़) कहा, कि उन्होंने एक वाईफ़ाई डोर बेल बनाई है.",ಅವರು ವೈಫೈ ಡೋರ್ ಬೆಲ್ ತಯಾರಿಸಿದ್ದಾರೆ ಎಂದು ಅವರು ಹೇಳಿದರು.,"அவர், தான் வைஃபை கதவு அறிவிப்பு மணியை உருவாக்கியதாகக் கூறினார்."
8,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"सिमिनॉफ़ ने कहा कि 2013 में शार्क टैंक एपिसोड में उनके दिखने के बाद बिक्री में बढ़ोतरी हुई, जहाँ शो पैनल ने स्टार्टअप को पूँजी लगाने से मना कर दिया.",2013 ರಲ್ಲಿ ಶಾರ್ಕ್ ಟ್ಯಾಂಕ್ ಎಪಿಸೋಡ್‌ನಲ್ಲಿ ಕಾಣಿಸಿಕೊಂಡ ನಂತರ ಮಾರಾಟವು ಹೆಚ್ಚಾಗಿದೆ ಎಂದು ಸಿಮಿನಾಫ್ ಹೇಳಿದ್ದಾರೆ ಹಾಗು ಅಲ್ಲಿ ಕಾರ್ಯಕ್ರಮದ ಸದಸ್ಯರು ಸ್ಟಾರ್ಟ್ ಅಪ್ ಗೆ ಹಣದ ಸಹಕಾರವನ್ನು ನಿರಾಕರಿಸಿತ್ತು.,"ஸிமினாஃப், 2013 ஆம் ஆண்டு ஷார் டேங்க் தொடரில் தான் தோன்றியது மற்றும் அவர்கள் தன் ஸ்டார்ட் அப் நிறுவனத்திற்கு பணம் அளிக்க மறுத்ததன் பின்னர் அவரது விற்பனை பெருகியது என்று தெரிவித்தார்."
9,"In late 2017, Siminoff appeared on shopping television channel QVC.","2017 के अंत में, सिमिनॉफ़ शॉपिंग टेलीविज़न चैनल QVC में दिखाई दिए.","2017 ರ ಕೊನೆಯಲ್ಲಿ, ಸಿಮಿನಾಫ್ ಶಾಪಿಂಗ್ ಟೆಲಿವಿಷನ್ ಚಾನೆಲ್ QVCಯಲ್ಲಿ ಕಾಣಿಸಿಕೊಂಡರು.","சிமினோஃப் 2017 இன் பிற்பகுதியில், ஷாப்பிங் தொலைக்காட்சி சேனலான QVC இல் தோன்றினார்."
10,"Ring also settled a lawsuit with competing security company, the ADT Corporation.",रिंग ने अपनी प्रतिस्पर्धी कंपनी ADT कॉर्पोरेशन के साथ एक मुकदमा निपटाया है.,ಎಡಿಟಿ ಕಾರ್ಪೊರೇಶನ್‌ ಎಂಬ ಪ್ರತಿಸ್ಫರ್ಧಿ ಭದ್ರತಾ ಕಂಪನಿಯು ಜೊತೆಗೆ ದಾವೆಯನ್ನೂ ರಿಂಗ್ ಪರಿಹರಿಸಿದರು.,ரிங் அதன் போட்டி பாதுகாப்பு நிறுவனமான ADT கார்ப்பரேஷனுடன் உரிமை கோரல் வழக்கை தீர்த்துக் கொண்டது.
